edad	EstadoCivil	Direccion	Ingresos	tipovehiculo	Educacion	Anostrabajando	Satisfaclab	Personashogar	Baja
64	Soltero	3	-25	Economico	Licenciado	Mas de 15	Algo satisfecho	1	SI
53	Casado	19	70	Lujo	Bachillerato	Mas de 15	Muy satisfecho	4	SI
32	Casado	5	-25	Economico	Bachillerato	Menos de 5	Neutro	4	No
28	Casado	9	25-49	Estandar	Licenciado	Menos de 5	Neutro	5	No
25	Casado	6	25-49	Economico	Licenciado	Menos de 5	Muy insatisfecho	4	SI
31	Casado	11	25-49	Economico	Bachillerato	Menos de 5	Algo insatisfecho	4	SI
46	Soltero	6	70	Lujo	Diplomado	Mas de 15	Algo satisfecho	1	SI
34	Casado	14	25-49	Estandar	Basicos	5 a 15	Muy insatisfecho	5	SI
26	Casado	1	-25	Economico	Basicos	5 a 15	Neutro	5	SI
42	Casado	23	25-49	Estandar	Basicos	5 a 15	Algo satisfecho	6	SI
58	Casado	29	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	4	SI
55	Soltero	29	70	Lujo	Licenciado	Mas de 15	Neutro	1	SI
63	Casado	26	70	Lujo	Bachillerato	Mas de 15	Neutro	2	SI
59	Casado	11	70	Lujo	Basicos	Mas de 15	Muy satisfecho	2	SI
43	Casado	14	50-70	Estandar	Bachillerato	5 a 15	Algo satisfecho	4	SI
41	Soltero	10	25-49	Economico	Basicos	Menos de 5	Algo insatisfecho	1	SI
34	Casado	13	25-49	Estandar	Diplomado	Menos de 5	Neutro	2	SI
19	Soltero	0	-25	Economico	Bachillerato	Menos de 5	Muy insatisfecho	3	SI
27	Soltero	5	25-49	Economico	Basicos	5 a 15	Algo insatisfecho	1	SI
38	Soltero	2	25-49	Estandar	Diplomado	5 a 15	Algo satisfecho	1	SI
59	Soltero	10	25-49	Estandar	Diplomado	Menos de 5	Neutro	1	SI
21	Casado	2	-25	Economico	Diplomado	Menos de 5	Algo insatisfecho	4	SI
36	Casado	16	25-49	Estandar	Bachillerato	5 a 15	Algo satisfecho	2	SI
43	Casado	6	25-49	Estandar	Bachillerato	5 a 15	Muy satisfecho	3	SI
41	Casado	22	-25	Economico	Basicos	5 a 15	Neutro	3	SI
52	Soltero	28	25-49	Economico	Bachillerato	Menos de 5	Algo satisfecho	1	SI
25	Casado	4	25-49	Economico	Bachillerato	Menos de 5	Muy satisfecho	6	SI
24	Casado	4	-25	Economico	Diplomado	Menos de 5	Muy insatisfecho	3	SI
32	Soltero	0	50-70	Estandar	Bachillerato	5 a 15	Neutro	2	SI
60	Casado	15	70	Lujo	Basicos	Mas de 15	Algo satisfecho	2	SI
54	Soltero	0	25-49	Estandar	Diplomado	Mas de 15	Algo insatisfecho	1	SI
35	Soltero	11	25-49	Economico	Bachillerato	Menos de 5	Muy insatisfecho	1	SI
46	Casado	23	50-70	Estandar	Basicos	5 a 15	Muy satisfecho	2	SI
25	Casado	6	25-49	Estandar	Bachillerato	Menos de 5	Algo insatisfecho	3	SI
34	Casado	8	-25	Economico	Bachillerato	Menos de 5	Muy insatisfecho	4	SI
30	Soltero	8	25-49	Estandar	Basicos	5 a 15	Algo satisfecho	2	SI
24	Casado	3	25-49	Economico	Licenciado	Menos de 5	Algo insatisfecho	3	SI
34	Casado	15	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	6	SI
59	Casado	34	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	3	SI
38	Casado	18	70	Lujo	Diplomado	Mas de 15	Algo satisfecho	3	SI
36	Casado	13	25-49	Economico	Diplomado	Menos de 5	Neutro	5	SI
33	Casado	13	-25	Economico	Bachillerato	5 a 15	Algo satisfecho	3	SI
34	Casado	10	25-49	Economico	Tercer ciclo	Menos de 5	Algo insatisfecho	4	SI
57	Soltero	9	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	1	SI
36	Soltero	5	25-49	Estandar	Licenciado	5 a 15	Algo satisfecho	1	SI
39	Casado	14	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	2	SI
26	Casado	0	25-49	Estandar	Diplomado	Menos de 5	Neutro	4	SI
42	Casado	3	50-70	Estandar	Diplomado	Mas de 15	Muy satisfecho	2	SI
33	Soltero	6	70	Lujo	Licenciado	5 a 15	Algo satisfecho	1	SI
42	Soltero	5	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	1	SI
46	Soltero	0	25-49	Estandar	Licenciado	5 a 15	Algo insatisfecho	1	SI
28	Casado	9	25-49	Economico	Diplomado	Menos de 5	Neutro	6	SI
40	Soltero	16	25-49	Estandar	Diplomado	Menos de 5	Algo insatisfecho	1	SI
47	Casado	23	25-49	Estandar	Bachillerato	Menos de 5	Algo satisfecho	4	SI
25	Casado	1	25-49	Economico	Bachillerato	5 a 15	Algo insatisfecho	4	SI
30	Soltero	9	-25	Economico	Tercer ciclo	Menos de 5	Algo insatisfecho	1	SI
57	Soltero	20	70	Lujo	Tercer ciclo	Mas de 15	Algo satisfecho	1	SI
23	Casado	0	25-49	Estandar	Licenciado	Menos de 5	Algo insatisfecho	6	SI
23	Soltero	0	-25	Economico	Diplomado	Menos de 5	Algo satisfecho	1	SI
38	Casado	0	25-49	Estandar	Licenciado	5 a 15	Neutro	4	SI
37	Soltero	8	25-49	Estandar	Bachillerato	5 a 15	Algo insatisfecho	1	SI
47	Soltero	7	-25	Economico	Basicos	Menos de 5	Muy insatisfecho	1	SI
20	Casado	0	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	4	SI
19	Casado	0	-25	Economico	Basicos	Menos de 5	Muy insatisfecho	3	SI
26	Soltero	2	-25	Economico	Basicos	5 a 15	Neutro	1	SI
25	Soltero	1	70	Lujo	Licenciado	Menos de 5	Muy insatisfecho	1	SI
39	Soltero	19	25-49	Estandar	Licenciado	Mas de 15	Algo satisfecho	1	SI
31	Casado	5	25-49	Economico	Tercer ciclo	Menos de 5	Algo insatisfecho	3	SI
37	Soltero	13	25-49	Estandar	Basicos	5 a 15	Algo satisfecho	1	SI
44	Casado	19	-25	Economico	Licenciado	5 a 15	Algo insatisfecho	5	SI
43	Soltero	6	50-70	Lujo	Diplomado	Mas de 15	Algo satisfecho	1	SI
50	Soltero	31	25-49	Estandar	Basicos	5 a 15	Neutro	1	SI
45	Soltero	23	-25	Economico	Basicos	Menos de 5	Muy insatisfecho	1	SI
62	Casado	10	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	2	SI
51	Casado	14	25-49	Estandar	Bachillerato	Menos de 5	Muy satisfecho	2	SI
34	Soltero	14	50-70	Lujo	Bachillerato	5 a 15	Algo satisfecho	1	SI
47	Soltero	7	70	Lujo	Bachillerato	Mas de 15	Algo insatisfecho	3	SI
49	Casado	7	50-70	Lujo	Licenciado	5 a 15	Neutro	4	SI
40	Soltero	16	50-70	Lujo	Basicos	Mas de 15	Algo satisfecho	1	SI
37	Casado	9	70	Lujo	Diplomado	5 a 15	Neutro	5	SI
32	Casado	6	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	3	SI
57	Casado	2	-25	Economico	Basicos	Mas de 15	Muy insatisfecho	2	SI
26	Soltero	6	-25	Economico	Basicos	5 a 15	Algo satisfecho	1	SI
36	Soltero	0	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	1	SI
29	Casado	8	70	Lujo	Licenciado	Menos de 5	Muy insatisfecho	4	SI
22	Casado	1	25-49	Estandar	Licenciado	Menos de 5	Muy insatisfecho	2	SI
28	Casado	3	-25	Economico	Diplomado	Menos de 5	Muy insatisfecho	5	SI
44	Soltero	15	25-49	Estandar	Bachillerato	5 a 15	Algo insatisfecho	1	SI
21	Casado	1	-25	Economico	Basicos	Menos de 5	Neutro	5	SI
39	Soltero	16	25-49	Economico	Bachillerato	5 a 15	Neutro	2	SI
43	Casado	15	-25	Economico	Bachillerato	Menos de 5	Algo satisfecho	2	SI
30	Casado	6	25-49	Estandar	Licenciado	5 a 15	Neutro	4	SI
35	Casado	3	-25	Economico	Basicos	5 a 15	Muy insatisfecho	5	SI
54	Casado	9	70	Lujo	Diplomado	Mas de 15	Algo satisfecho	2	SI
48	Casado	25	70	Lujo	Licenciado	Mas de 15	Algo satisfecho	2	SI
30	Soltero	3	25-49	Estandar	Licenciado	Menos de 5	Algo insatisfecho	1	SI
34	Soltero	1	50-70	Lujo	Bachillerato	5 a 15	Muy satisfecho	4	SI
58	Casado	30	70	Lujo	Basicos	Mas de 15	Algo satisfecho	2	SI
62	Soltero	13	25-49	Estandar	Basicos	5 a 15	Algo insatisfecho	1	SI
39	Soltero	2	25-49	Estandar	Basicos	Mas de 15	Muy satisfecho	2	SI
60	Casado	3	70	Lujo	Basicos	Mas de 15	Algo satisfecho	2	SI
64	Soltero	43	70	Lujo	Bachillerato	Mas de 15	Muy satisfecho	1	SI
43	Casado	8	50-70	Estandar	Licenciado	5 a 15	Algo satisfecho	2	SI
42	Casado	17	-25	Economico	Basicos	Menos de 5	Algo insatisfecho	2	SI
19	Soltero	0	25-49	Estandar	Bachillerato	Menos de 5	Algo insatisfecho	2	SI
37	Casado	10	25-49	Economico	Diplomado	5 a 15	Neutro	3	SI
57	Casado	32	25-49	Economico	Basicos	5 a 15	Algo satisfecho	2	SI
57	Casado	8	25-49	Economico	Basicos	Menos de 5	Algo satisfecho	3	No
23	Casado	2	-25	Economico	Basicos	Menos de 5	Algo satisfecho	2	SI
39	Soltero	9	50-70	Estandar	Bachillerato	5 a 15	Neutro	1	SI
35	Soltero	13	25-49	Estandar	Bachillerato	5 a 15	Neutro	1	SI
34	Casado	6	50-70	Estandar	Licenciado	5 a 15	Algo satisfecho	3	SI
46	Soltero	15	70	Lujo	Basicos	Mas de 15	Muy satisfecho	1	SI
48	Casado	8	70	Lujo	Bachillerato	Mas de 15	Muy satisfecho	2	SI
37	Soltero	0	25-49	Estandar	Basicos	5 a 15	Algo insatisfecho	1	SI
28	Soltero	5	25-49	Estandar	Basicos	5 a 15	Neutro	1	SI
26	Casado	1	-25	Economico	Licenciado	Menos de 5	Muy insatisfecho	3	SI
62	Casado	3	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	2	SI
63	Casado	23	70	Lujo	Bachillerato	Mas de 15	Muy satisfecho	3	No
32	Casado	6	25-49	Economico	Basicos	5 a 15	Algo satisfecho	5	SI
49	Soltero	19	70	Lujo	Bachillerato	5 a 15	Neutro	1	No
49	Casado	10	-25	Economico	Basicos	Menos de 5	Algo insatisfecho	2	No
22	Soltero	1	25-49	Economico	Diplomado	Menos de 5	Muy insatisfecho	1	SI
53	Casado	12	70	Lujo	Basicos	Mas de 15	Neutro	2	SI
34	Casado	9	70	Lujo	Bachillerato	5 a 15	Muy satisfecho	4	SI
52	Casado	0	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	2	SI
43	Soltero	23	-25	Economico	Licenciado	Menos de 5	Neutro	1	SI
40	Casado	20	25-49	Estandar	Basicos	Menos de 5	Neutro	2	SI
52	Soltero	19	-25	Economico	Bachillerato	Menos de 5	Muy insatisfecho	1	SI
56	Soltero	36	70	Lujo	Diplomado	Mas de 15	Neutro	1	SI
48	Casado	17	70	Lujo	Bachillerato	Mas de 15	Algo satisfecho	4	SI
38	Soltero	7	50-70	Economico	Bachillerato	5 a 15	Neutro	1	No
34	Casado	0	25-49	Estandar	Licenciado	Menos de 5	Neutro	4	SI
46	Casado	2	50-70	Estandar	Bachillerato	5 a 15	Algo insatisfecho	2	SI
60	Soltero	22	25-49	Estandar	Diplomado	Menos de 5	Neutro	1	SI
31	Soltero	4	25-49	Estandar	Bachillerato	5 a 15	Muy insatisfecho	1	SI
30	Casado	9	25-49	Estandar	Bachillerato	5 a 15	Muy satisfecho	3	SI
41	Soltero	17	50-70	Lujo	Basicos	Mas de 15	Muy satisfecho	3	SI
49	Casado	25	25-49	Estandar	Bachillerato	Menos de 5	Algo satisfecho	3	SI
27	Casado	3	25-49	Estandar	Bachillerato	5 a 15	Neutro	6	SI
25	Casado	5	25-49	Economico	Diplomado	Menos de 5	Muy insatisfecho	3	No
28	Casado	2	25-49	Estandar	Basicos	5 a 15	Algo satisfecho	4	SI
30	Soltero	0	50-70	Lujo	Licenciado	5 a 15	Algo insatisfecho	1	SI
26	Casado	0	-25	Economico	Licenciado	Menos de 5	Algo insatisfecho	5	SI
32	Soltero	13	25-49	Estandar	Basicos	5 a 15	Algo insatisfecho	1	SI
38	Soltero	13	50-70	Lujo	Licenciado	Menos de 5	Neutro	1	SI
30	Casado	3	-25	Economico	Bachillerato	Menos de 5	Muy insatisfecho	4	SI
50	Casado	7	70	Lujo	Licenciado	Mas de 15	Muy satisfecho	2	SI
44	Soltero	25	70	Lujo	Bachillerato	Mas de 15	Neutro	2	SI
38	Soltero	13	25-49	Economico	Basicos	5 a 15	Muy satisfecho	1	SI
44	Soltero	7	25-49	Estandar	Bachillerato	Menos de 5	Muy insatisfecho	1	SI
28	Casado	5	25-49	Economico	Licenciado	Menos de 5	Algo insatisfecho	4	SI
33	Soltero	6	70	Lujo	Diplomado	5 a 15	Algo satisfecho	1	SI
30	Casado	2	25-49	Economico	Licenciado	5 a 15	Algo insatisfecho	2	SI
26	Casado	1	25-49	Economico	Bachillerato	Menos de 5	Neutro	3	SI
37	Soltero	4	25-49	Estandar	Diplomado	Menos de 5	Algo insatisfecho	3	SI
39	Casado	14	25-49	Economico	Basicos	5 a 15	Algo insatisfecho	2	SI
31	Casado	4	50-70	Economico	Bachillerato	Menos de 5	Algo insatisfecho	7	No
50	Casado	7	50-70	Lujo	Licenciado	Mas de 15	Algo satisfecho	2	SI
29	Casado	0	-25	Economico	Licenciado	5 a 15	Algo insatisfecho	4	SI
39	Casado	7	25-49	Estandar	Basicos	Menos de 5	Neutro	4	SI
39	Casado	19	25-49	Estandar	Bachillerato	Mas de 15	Algo insatisfecho	2	SI
53	Casado	16	25-49	Economico	Bachillerato	Menos de 5	Algo insatisfecho	3	SI
71	Casado	30	25-49	Estandar	Basicos	Mas de 15	Muy satisfecho	2	SI
60	Soltero	27	50-70	Lujo	Tercer ciclo	5 a 15	Algo insatisfecho	2	SI
42	Casado	8	70	Lujo	Basicos	5 a 15	Algo satisfecho	2	SI
36	Soltero	7	70	Lujo	Licenciado	Menos de 5	Neutro	2	SI
48	Casado	10	70	Lujo	Bachillerato	5 a 15	Algo insatisfecho	4	SI
42	Soltero	8	50-70	Estandar	Bachillerato	5 a 15	Algo satisfecho	1	No
59	Soltero	31	25-49	Estandar	Basicos	5 a 15	Algo insatisfecho	1	SI
49	Casado	0	70	Lujo	Licenciado	Menos de 5	Algo satisfecho	4	SI
32	Soltero	8	25-49	Estandar	Bachillerato	5 a 15	Algo satisfecho	1	SI
26	Soltero	1	-25	Economico	Diplomado	Menos de 5	Muy insatisfecho	3	SI
27	Casado	4	25-49	Economico	Licenciado	Menos de 5	Algo insatisfecho	4	SI
49	Soltero	3	25-49	Estandar	Basicos	5 a 15	Neutro	1	SI
53	Soltero	30	70	Lujo	Basicos	Mas de 15	Muy insatisfecho	1	SI
54	Soltero	3	70	Lujo	Tercer ciclo	Mas de 15	Muy satisfecho	1	SI
31	Soltero	12	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	1	SI
66	Casado	7	50-70	Estandar	Bachillerato	Mas de 15	Algo satisfecho	2	SI
38	Soltero	16	25-49	Estandar	Basicos	5 a 15	Muy satisfecho	2	SI
47	Casado	16	-25	Economico	Diplomado	Menos de 5	Neutro	2	SI
43	Soltero	12	25-49	Estandar	Bachillerato	5 a 15	Neutro	1	SI
24	Casado	4	-25	Economico	Bachillerato	Menos de 5	Algo insatisfecho	2	No
65	Casado	18	70	Lujo	Bachillerato	Mas de 15	Algo satisfecho	2	SI
41	Soltero	19	25-49	Economico	Bachillerato	Menos de 5	Algo satisfecho	2	No
36	Soltero	17	-25	Economico	Licenciado	Menos de 5	Neutro	1	SI
35	Casado	5	25-49	Estandar	Licenciado	5 a 15	Neutro	6	SI
28	Soltero	0	25-49	Economico	Basicos	5 a 15	Algo insatisfecho	1	SI
65	Soltero	16	50-70	Lujo	Basicos	Mas de 15	Muy satisfecho	1	SI
28	Soltero	3	25-49	Estandar	Bachillerato	5 a 15	Muy insatisfecho	3	SI
47	Soltero	3	70	Lujo	Tercer ciclo	5 a 15	Algo satisfecho	1	SI
44	Soltero	1	70	Lujo	Diplomado	Mas de 15	Algo insatisfecho	3	No
42	Casado	21	25-49	Estandar	Diplomado	Menos de 5	Muy satisfecho	2	SI
49	Casado	11	25-49	Estandar	Licenciado	Menos de 5	Algo satisfecho	2	SI
54	Casado	14	25-49	Estandar	Bachillerato	5 a 15	Algo insatisfecho	2	SI
28	Soltero	4	-25	Economico	Bachillerato	5 a 15	Algo satisfecho	1	SI
55	Casado	7	70	Lujo	Licenciado	5 a 15	Muy insatisfecho	3	No
26	Soltero	6	50-70	Lujo	Diplomado	Menos de 5	Muy insatisfecho	1	SI
38	Soltero	11	70	Lujo	Diplomado	Mas de 15	Algo satisfecho	1	SI
29	Soltero	5	25-49	Estandar	Diplomado	Menos de 5	Muy insatisfecho	4	SI
30	Casado	10	-25	Economico	Bachillerato	Menos de 5	Algo insatisfecho	4	SI
30	Casado	0	25-49	Estandar	Tercer ciclo	Menos de 5	Neutro	4	No
58	Soltero	22	25-49	Estandar	Bachillerato	Mas de 15	Algo insatisfecho	1	SI
47	Casado	4	70	Lujo	Basicos	Mas de 15	Algo insatisfecho	2	SI
60	Soltero	36	25-49	Estandar	Basicos	Mas de 15	Muy satisfecho	2	SI
53	Soltero	30	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	1	SI
38	Casado	19	50-70	Estandar	Bachillerato	Mas de 15	Neutro	4	SI
31	Casado	3	25-49	Estandar	Licenciado	Menos de 5	Algo satisfecho	5	SI
70	Soltero	28	-25	Economico	Basicos	Mas de 15	Muy satisfecho	1	SI
54	Soltero	29	70	Lujo	Bachillerato	5 a 15	Algo satisfecho	1	SI
41	Soltero	19	50-70	Lujo	Bachillerato	Mas de 15	Muy satisfecho	1	SI
31	Soltero	4	25-49	Estandar	Tercer ciclo	Menos de 5	Muy insatisfecho	1	SI
45	Soltero	8	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	1	SI
24	Soltero	0	-25	Economico	Bachillerato	Menos de 5	Neutro	1	No
50	Casado	13	70	Lujo	Bachillerato	Mas de 15	Algo satisfecho	2	SI
42	Soltero	15	-25	Economico	Licenciado	Menos de 5	Algo insatisfecho	1	SI
22	Casado	2	50-70	Estandar	Licenciado	Menos de 5	Algo insatisfecho	4	SI
29	Casado	9	50-70	Economico	Bachillerato	5 a 15	Neutro	3	SI
43	Soltero	14	25-49	Estandar	Tercer ciclo	Menos de 5	Neutro	1	SI
31	Casado	11	25-49	Economico	Diplomado	Menos de 5	Muy insatisfecho	4	No
28	Soltero	1	25-49	Estandar	Tercer ciclo	Menos de 5	Algo insatisfecho	1	SI
28	Casado	9	25-49	Estandar	Tercer ciclo	Menos de 5	Muy insatisfecho	2	SI
41	Casado	8	70	Lujo	Tercer ciclo	5 a 15	Neutro	5	SI
52	Soltero	19	70	Lujo	Basicos	Mas de 15	Neutro	2	SI
45	Casado	13	50-70	Lujo	Bachillerato	Mas de 15	Neutro	3	SI
36	Soltero	12	50-70	Estandar	Bachillerato	5 a 15	Algo insatisfecho	1	SI
25	Casado	2	-25	Economico	Basicos	Menos de 5	Algo insatisfecho	7	SI
34	Casado	15	25-49	Estandar	Bachillerato	Menos de 5	Algo insatisfecho	2	SI
20	Casado	1	25-49	Estandar	Diplomado	Menos de 5	Neutro	4	SI
31	Casado	4	50-70	Estandar	Bachillerato	5 a 15	Algo insatisfecho	2	SI
35	Casado	16	25-49	Estandar	Licenciado	5 a 15	Algo satisfecho	4	SI
21	Casado	0	-25	Economico	Diplomado	Menos de 5	Algo insatisfecho	4	SI
42	Soltero	5	50-70	Estandar	Basicos	5 a 15	Muy satisfecho	1	No
33	Soltero	0	25-49	Estandar	Bachillerato	Menos de 5	Muy insatisfecho	1	No
40	Soltero	16	70	Lujo	Diplomado	5 a 15	Muy satisfecho	1	SI
47	Casado	2	50-70	Estandar	Diplomado	Mas de 15	Algo insatisfecho	4	SI
65	Casado	21	70	Lujo	Basicos	Mas de 15	Algo satisfecho	3	SI
34	Soltero	10	-25	Economico	Diplomado	Menos de 5	Muy insatisfecho	1	SI
26	Casado	0	25-49	Estandar	Basicos	5 a 15	Algo satisfecho	6	SI
61	Casado	26	-25	Economico	Bachillerato	Menos de 5	Algo satisfecho	2	SI
42	Casado	3	70	Lujo	Basicos	Mas de 15	Algo satisfecho	5	SI
59	Soltero	36	25-49	Estandar	Diplomado	Mas de 15	Neutro	1	SI
36	Soltero	4	25-49	Estandar	Bachillerato	Menos de 5	Algo insatisfecho	1	SI
55	Soltero	28	70	Lujo	Bachillerato	Mas de 15	Muy satisfecho	1	SI
41	Casado	19	25-49	Economico	Diplomado	Menos de 5	Algo satisfecho	2	SI
55	Soltero	9	70	Lujo	Licenciado	Mas de 15	Algo satisfecho	1	SI
59	Casado	0	25-49	Estandar	Basicos	5 a 15	Algo insatisfecho	4	SI
51	Soltero	27	70	Lujo	Bachillerato	5 a 15	Algo satisfecho	1	SI
27	Casado	2	50-70	Lujo	Licenciado	Menos de 5	Algo satisfecho	4	SI
57	Casado	13	70	Lujo	Bachillerato	Mas de 15	Neutro	3	SI
58	Casado	22	25-49	Estandar	Bachillerato	Menos de 5	Algo insatisfecho	2	SI
40	Soltero	6	25-49	Economico	Bachillerato	Menos de 5	Neutro	3	SI
32	Casado	7	25-49	Estandar	Licenciado	5 a 15	Algo satisfecho	2	SI
29	Soltero	7	50-70	Estandar	Tercer ciclo	Menos de 5	Algo insatisfecho	2	SI
47	Soltero	8	25-49	Estandar	Diplomado	5 a 15	Muy satisfecho	4	SI
48	Soltero	19	70	Lujo	Basicos	Mas de 15	Neutro	1	SI
54	Casado	12	50-70	Lujo	Licenciado	Menos de 5	Muy insatisfecho	3	SI
42	Casado	10	50-70	Lujo	Bachillerato	5 a 15	Algo insatisfecho	5	SI
38	Casado	7	50-70	Lujo	Bachillerato	Mas de 15	Neutro	2	SI
52	Soltero	17	25-49	Estandar	Bachillerato	5 a 15	Muy satisfecho	1	SI
56	Soltero	37	50-70	Estandar	Diplomado	5 a 15	Muy satisfecho	1	No
19	Soltero	0	25-49	Economico	Bachillerato	Menos de 5	Muy insatisfecho	2	SI
65	Casado	9	70	Lujo	Basicos	Mas de 15	Neutro	3	SI
29	Soltero	6	25-49	Estandar	Bachillerato	5 a 15	Muy satisfecho	3	No
30	Casado	10	-25	Economico	Diplomado	5 a 15	Algo insatisfecho	2	SI
41	Casado	10	50-70	Lujo	Diplomado	5 a 15	Neutro	2	SI
52	Casado	18	70	Lujo	Bachillerato	Mas de 15	Algo satisfecho	2	SI
59	Soltero	2	25-49	Estandar	Basicos	5 a 15	Muy satisfecho	1	SI
29	Soltero	6	-25	Economico	Bachillerato	5 a 15	Muy satisfecho	1	No
51	Soltero	14	50-70	Estandar	Licenciado	5 a 15	Algo insatisfecho	1	SI
42	Soltero	1	-25	Economico	Bachillerato	Menos de 5	Algo insatisfecho	1	SI
48	Soltero	14	70	Lujo	Bachillerato	Mas de 15	Algo satisfecho	1	SI
51	Soltero	25	70	Lujo	Bachillerato	Mas de 15	Neutro	3	SI
50	Soltero	5	25-49	Estandar	Basicos	Menos de 5	Muy satisfecho	2	SI
29	Soltero	0	25-49	Estandar	Bachillerato	5 a 15	Algo insatisfecho	1	SI
46	Casado	2	70	Lujo	Basicos	Mas de 15	Algo satisfecho	4	SI
36	Soltero	16	70	Lujo	Licenciado	5 a 15	Algo satisfecho	1	SI
58	Casado	5	70	Lujo	Tercer ciclo	Mas de 15	Muy satisfecho	2	No
50	Casado	13	50-70	Estandar	Licenciado	5 a 15	Neutro	5	No
32	Casado	13	25-49	Estandar	Tercer ciclo	Menos de 5	Muy insatisfecho	4	SI
39	Casado	10	-25	Economico	Bachillerato	5 a 15	Neutro	4	No
52	Soltero	33	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	1	SI
32	Casado	12	-25	Economico	Bachillerato	Menos de 5	Muy insatisfecho	3	SI
44	Soltero	1	70	Lujo	Diplomado	5 a 15	Muy satisfecho	1	No
37	Soltero	7	25-49	Economico	Diplomado	5 a 15	Muy satisfecho	1	SI
35	Soltero	11	50-70	Estandar	Basicos	5 a 15	Algo insatisfecho	1	SI
35	Casado	11	25-49	Estandar	Licenciado	5 a 15	Algo insatisfecho	3	SI
46	Casado	6	70	Lujo	Bachillerato	Mas de 15	Muy satisfecho	4	SI
63	Soltero	31	70	Lujo	Diplomado	Mas de 15	Algo satisfecho	1	SI
42	Soltero	23	25-49	Economico	Bachillerato	Menos de 5	Algo insatisfecho	1	SI
24	Soltero	0	-25	Economico	Bachillerato	Menos de 5	Algo insatisfecho	1	SI
34	Soltero	4	70	Estandar	Basicos	Mas de 15	Algo insatisfecho	1	No
36	Soltero	14	-25	Economico	Basicos	5 a 15	Neutro	2	SI
39	Casado	10	50-70	Estandar	Diplomado	5 a 15	Muy insatisfecho	3	No
49	Soltero	30	70	Lujo	Basicos	Mas de 15	Neutro	3	SI
46	Casado	8	50-70	Lujo	Basicos	Mas de 15	Muy satisfecho	2	SI
53	Soltero	5	70	Lujo	Basicos	Mas de 15	Neutro	2	SI
49	Casado	22	-25	Economico	Licenciado	Menos de 5	Muy insatisfecho	3	No
55	Casado	18	70	Lujo	Diplomado	Mas de 15	Neutro	4	SI
25	Soltero	1	50-70	Economico	Bachillerato	Menos de 5	Algo satisfecho	2	SI
29	Casado	0	25-49	Economico	Basicos	5 a 15	Algo insatisfecho	2	SI
49	Casado	12	50-70	Economico	Bachillerato	5 a 15	Muy satisfecho	4	SI
47	Casado	6	25-49	Estandar	Basicos	5 a 15	Neutro	2	SI
53	Soltero	9	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	1	SI
38	Soltero	12	25-49	Estandar	Bachillerato	5 a 15	Muy satisfecho	1	SI
47	Casado	2	70	Lujo	Bachillerato	Mas de 15	Neutro	2	SI
26	Casado	2	50-70	Economico	Licenciado	Menos de 5	Algo insatisfecho	4	SI
57	Casado	20	70	Lujo	Diplomado	Mas de 15	Neutro	3	SI
24	Casado	0	70	Lujo	Licenciado	Menos de 5	Algo satisfecho	5	SI
25	Soltero	3	25-49	Estandar	Basicos	5 a 15	Muy insatisfecho	1	SI
54	Casado	14	70	Lujo	Basicos	Mas de 15	Muy satisfecho	3	SI
62	Soltero	17	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	1	SI
56	Casado	30	25-49	Economico	Licenciado	Menos de 5	Muy insatisfecho	2	SI
26	Casado	3	25-49	Economico	Basicos	Menos de 5	Algo satisfecho	3	SI
26	Casado	1	-25	Economico	Basicos	Menos de 5	Muy insatisfecho	5	SI
40	Casado	8	50-70	Lujo	Basicos	Mas de 15	Algo insatisfecho	2	SI
36	Casado	12	25-49	Estandar	Licenciado	5 a 15	Algo insatisfecho	7	SI
42	Casado	5	50-70	Lujo	Bachillerato	Menos de 5	Muy insatisfecho	2	SI
34	Casado	13	25-49	Estandar	Bachillerato	Menos de 5	Algo insatisfecho	3	SI
48	Casado	22	70	Estandar	Diplomado	Mas de 15	Algo insatisfecho	2	SI
29	Casado	9	70	Lujo	Diplomado	5 a 15	Muy satisfecho	2	SI
36	Casado	2	50-70	Lujo	Licenciado	5 a 15	Algo insatisfecho	6	SI
58	Casado	28	50-70	Lujo	Diplomado	5 a 15	Neutro	2	SI
42	Soltero	18	70	Lujo	Diplomado	Mas de 15	Muy satisfecho	1	SI
57	Soltero	3	70	Lujo	Licenciado	Mas de 15	Algo insatisfecho	1	SI
